Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
"PEMBERIAN KOTORAN TERNAK SAPI TERHADAP PERTUMBUHAN DAN HASIL DUA VARIETAS TEMBAKAU (Nicotiana tabacum. L)
",Penulis : Dian Anggraini,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M.si","Dosen Pembimbing II :Mustika Tripatmasari, SP., M.si","	Tembakau (Nicotiana tabacum L.) termasuk salah satu komoditi perdagangan dengan nilai ekonomi yang tinggi di Indonesia. Keberhasilan peningkatan produktivitas tembakau tergantung pada banyak faktor antara lain kualitas benih, teknologi budidaya, iklim, tanah dan kemampuan petani dalam mengelolanya. Pulau Madura merupakan salah satu sentra penanaman tembakau di Indonesia. Secara administratife daerah penanaman tembakau di Madura berada di Kabupaten Sampang, Pamekasan dan Sumenep. Kondisi lingkungan juga mempunyai peran terhadap kemampuan ekpresi genetik. Jika kondisi lingkungan dapat terbentuk akibat pemberian pupuk organik maka mutu akan dicapai. Tujuan dari penelitian ini yaitu mengetahui pertumbuhan dan hasil dua varietas tembakau Prancak dan Cangkring akibat pemberian kotoran ternak sapi. Penelitian ini  dilaksanakan di Desa Talang Kecamatan Saronggi Kabupaten Sumenep. Pada bulan Mei 2011 dan berakhir bulan Juli 2011.Penelitian menggunakan rancangan acak kelompok (RAK )Faktorial. Faktor pertama yaitu Varietas Prancak 95(V1),cangkring ( V2). Sedangkan faktor yag kedua yaitu Pupuk Organik 2000 kg/Ha ( O1 ), 4000 kg/Ha ( O2 ), 6000 kg/Ha ( O3 ).Hasil penelitian Pemberian kotoran ternak sapi sebanyak 6000 kg/ha diperoleh jumlah daun yang paling banyak dibanding yang lain
Kata kunci : Tembakau, pupuk kotoran ternak sapi, pertum
"
RESPON PERTUMBUHAN DAN HASIL TANAMAN UBI JALAR UNGU VAR. AYAMURASAKI (Ipomoea batatas. L) AKIBAT PENGOLAHAN TANAH DAN DOSIS PUPUK KOTORAN SAPI,Penulis : RATINA DEWI,"Dosen Pembimbing I : MUSTIKA TRIPATMASARI,S.P.,MSi","Dosen Pembimbing II :Dr.Ir.Ahmad Arsyad Munir,M.S","Ratina Dewi NRP 09.03.111.00002. Respon Pertumbuhan dan Hasil Tanaman Ubi Jalar Ungu Var. Ayamurasaki ( Ipomoea batatas. L ) Akibat Pengolahan Tanah dan Dosis Pupuk Kotoran Sapi, dibawah bimbingan Mustika Tripatmasari, SP. M.SI. dan Dr. Ir. Ahmad Arsyad Munir, MS.

ABSTRAK

Perlakuan pengolahan tanah yang dikombinasikan dengan macam dosis pupuk kotoran sapi diharapkan mampu meningkatkan pertumbuhan dan hasil tanaman ubi jalar var. Ayamurasaki (Ipomoea batatas. L). Penelitian ini bertujuan mengetahui respon pertumbuhan dan hasil tanaman ubi jalar ungu var. Ayamurasaki (ipomoea batatas. L) akibat pengolahan tanah dan dosis pupuk kotoran sapi. Penelitian ini dilaksanakan di kebun percobaan Fakultas Pertanian Universitas Trunojoyo Madura pada bulan Desember 2012 sampai Maret 2013. Rancangan penelitian yang digunakan adalah Rancangan Acak Kelompok dengan 3 kali ulangan yang disusun secara faktorial. Faktor I adalah macam olah tanah yang terdiri dari 3 taraf yaitu T1= tanpa olah tanah, T2= olah tanah 1x, T3= olah tanah 2x, dan faktor II adalah macam dosis pupuk kotoran sapi dengan 3 taraf yaitu D1= 10 ton/Ha, D2= 15 ton/Ha, D3= 20 ton/Ha. Hasil penelitian menunjukkan terjadi interaksi antara macam dosis pupuk kotoran sapi dan olah tanah pada parameter jumlah daun, luas daun, bobot basah tanaman dan bobot kering tanaman, akan tetapi perlakuan macam olah tanah berbeda nyata terhadap parameter luas daun, bobot total basah, dan berbeda sangat nyata terhadap bobot basah umbi, bobot kering umbi, jumlah umbi per tanaman, sedangkan perlakuan macam dosis pupuk kotoran sapi berbeda nyata terhadap panjang tanaman, bobot kering umbi, dan jumlah umbi per tanaman. Perlakuan olah tanah yang memberikan nilai rata-rata tertinggi adalah T3 dan perlakuan macam dosis pupuk kotoran sapi rata–rata tertinggi adalah D3, terhadap semua parameter pengamatan di semua umur pengamatan.







Kata kunci: Ubi jalar, pengolahan tanah, dosis pupuk kotoran sapi.




"
"KAJIAN VARIETAS KACANG HIJAU (Phaseolus radiatus L)
DI LAHAN TEGAL KECAMATAN KETAPANG 
KABUPATEN SAMPANG",Penulis : MUSRIFAH,"Dosen Pembimbing I : Dr. Ir. Ahmad Arsyad Munir, M.S.","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si","ABSTRAK

Upaya peningkatan produksi kacang hijau sudah banyak dilakukan di Indonesia, salah satunya adalah penggunaan benih varietas unggul dalam budidayanya karena permasalahan dalam pengelolaan tanaman kacang hijau ditingkat petani yaitu masih rendahnya produksitivitas hasil. Benih varietas unggul memiliki daya tumbuh dan hasil yang lebih tinggi dibandingkan benih lokal yang selama ini biasa digunakan oleh petani di Madura khususnya di Sampang. Dalam penelitian ini, pengujian benih varietas unggul bertujuan untuk mengetahui perbedaan pertumbuhan dari masing-masing varietas yang diujikan. Bahan yang digunkan dalam penelitian ini adalah pupuk Urea, SP36, KCl, air, dan benih kacang hijau varietas Vima-1, Murai, Perkutut, Kutilang varietas lokal. Rancangan penelitian yang digunakan adalah Rancangan Acak Kelompok (RAK) nonfaktorial dengan 5 perlakuan dan diulang sebanyak 5 kali. Data yang diperoleh dianalisis menggunakan Analisis Sidik Ragam (ANOVA)  dan dilanjutkan dengan Uji Jarak Duncan taraf 5%.
Secara umum perlakuan benih varietas unggul memberikan pengaruh sangat beda nyata pada semua parameter pengamatan kecuali pada rata-rata muncul bunga dan bobot kering tanaman. Hasil produksi terbaik ditunjukkan oleh perlakuan varietas unggul. Sedangakan hasil terendah ditunjukkan oleh perlakuan varietas lokal pada semua parameter perlakuan.

Kata Kunci: Kacang Hijau, uji benih, varietas unggul
"
"Peningkatan Produksi Kelopak Bunga Rosella 
(Hibiscus sabdariffa L.) Melalui Pemangkasan Dan Aplikasi Zat Pengatur Tumbuh
",Penulis : Mohamad Kholil,"Dosen Pembimbing I : Ir. Sucipto, M.P","Dosen Pembimbing II :Mustika Tripatmasari, S.P, M.Si","Penelitan ini bertujuan untuk mengetahui pengaruh perlakuan pemangkasan dan aplikasi konsentrasi Atonik terhadap produksi kelopak bunga rosella (Hibiscus sabdariffa L.). Penelitian ini dilaksanakan di kebun percobaan Fakultas Pertanian Universitas Trunojoyo Madura. Waktu penelitian dilakukan pada bulan Desember 2012 - April 2013.   Penelitian ini disusun secara faktorial dengan menggunakan Rancangan Acak Kelompok yang terdiri dari dua faktor perlakuan yang meliputi: Pemangkasan (P), terdiri dari 3 level yaitu: Tanpa pemangkasan, Pemangkasan batang dari ujung 20 cm dengan pemeliharaan 5 cabang  dan Pemangkasan batang dari ujung 20 cm dengan pemeliharaan 10 cabang. Konsentrasi zat pengatur tumbuh (Atonik) (Z), terdiri dari 3 level yaitu: kontrol, konsentrasi 1 cc/l dan  konsentrasi 1,5 cc/l. Hasil penelitian menujukkan, secara umum perlakuan pemangkasan tidak berpengaruh nyata terhadap sebagian besar variabel  penelitian. Perlakuan pemberian atonik (Z) tidak berpengaruh nyata terhadap semua variabel penelitian. Interaksi antara perlakuan pemangkasan (pembuangan ujung cabang) dengan pemberian beberapa konsentrasi zat pengatur tumbuh (Atonik) tidak berpengaruh nyata dalam peningkatan produksi kelopak bunga rosella.

Kata Kunci : Hibiscus sabdariffa L., Pemangkasan, Atonik, Produksi Kelopak
"
Kajian dan Respon Pertumbuhan Vegetatif Tanaman Tebu (Saccharum officinarum) Varietas PSJK 922 Pada Lahan Bekas Sawah dan Lahan Tegal (Studi Kasus di Kecamatan Burneh dan Labang),Penulis : Lucky Purwanti Putri,"Dosen Pembimbing I : Dr. Ir. H. Ach. Arsyad Munir, MS ","Dosen Pembimbing II :Ir. Hj. Siti Fatimah, MSi","Salah satu tanaman penghasil gula adalah tebu.Tanaman ini umumnya dapat tumbuh pada berbagai ketinggian.Terdapat dua cara budidaya tebu, yaitu budidaya tebu di lahan sawah dengan menggunakan sistem reynoso dan budidaya di lahan tegal dengan menggunakan sistem tebu lahan kering. Tujuan dari penelitian ini adalah mengetahui perbandingan pertumbuhan tanaman tebu yang ditanam di lahan bekas sawah dan di lahan tegal. Penelitian ini dilaksanakan di lahan bekas sawah  Kecamatan Burneh Kabupaten Bangkalan, dan di lahan tegal Kecamatan Labang Kabupaten Bangkalan .Waktu penelitian dilaksanakan pada bulan Desember 2012 sampai April 2013. Tahapan penelitian meliputi observasi lapang, penetapan stasiun pengamatan ,mengumpulkan data primer yang meliputi tinggi tanaman, jumlah daun, jumlah anakan dan diameter batang, wawancara, dan analisis data dengan menggunakan uji t-statistik. Hasil penelitian menunjukkan pertumbuhan tinggi tanaman, jumlah daun, dan diameter batang yang ditanam di lahan tegal tidak menunjukkan perebedaan yang signifikan dengan tanaman tebu yang di tanam di lahan sawah. Pada pertumbuhan jumlah anakan terdapat perbedaan yang signifikan, dimana jumlah anakan yang ditanam di lahan bekas sawah cenderung lebih banyak daripada tanaman tebu yang ditanam di lahan tegal.


Kata kunci : tebu, lahan bekas sawah, lahan tegal
"
Respon Tanaman Bawang Merah (Allium cepa L) Varietas Manjung terhadap Pemberian Pupuk Kalium Di Kecamatan Galis Kabupaten Pamekasan,Penulis : Cinderi Tamania Sari,"Dosen Pembimbing I : Ir. Hj. Siti Fatimah, M.Si","Dosen Pembimbing II :Catur Wasonowati, S.P, M.Si","Bawang merah merupakan salah satu komoditi sayuran yang berasal dari daerah Asia Tengah. Tanaman ini banyak digunakan sebagai bumbu untuk menambah cita rasa suatu masakan. Upaya untuk meningkatkan produksi bawang merah yaitu dengan menggunakan varietas unggul dan pemupukan kalium. Salah satu varietas tanaman bawang merah yang diminati oleh masyarakat saat ini adalah vaietas Manjung karena memiliki banyak keunggulan diantaranya tahan terhadap serangan penyakit dan produksinya tinggi meskipun ditanam pada musim penghujan. Tujuan dari penelitian ini adalah untuk mengetahui perbedaan pertumbuhan dan hasil tanaman bawang merah akibat pemberian pupuk kalium. Penelitian ini dilaksanakan di Desa Polagan Kecamatan Galis Kabupaten Pamekasan. Waktu penelitian ini dilaksanakan pada bulan Februari sampai April 2013. Rancanga percobaan yang digunakan adalah rancangan acak kelompok non faktorial dengan masing-masing perlakuan tanpa pemupukan (kontrol), ZK 150 kg/ha, ZK 200 kg/ha, ZK 250 kg/ha, ZK 300 kg/ha, KCl 150 kg/ha, KCl 200 kg/ha, KCl 250 kg/a, dan KCl 300 kg/Ha. Hasil penelitian menunjukkan perlakuan pemberian pupuk kalium tidak berpengaruh pada variabel jumlah daun, jumlah anakan, jumlah umbi, diameter umbi, dan panjang tanaman pada umur 1 MST sampai berumur 5 MST, bobot kering konsumsi akar, bobot kering konsumsi daun, bobot kering total tanaman, bobot kering akar, bobot kering daun, dan bobot kering umbi sedangkan perlakuan pemberian pupuk kalium perbengaruh pada variabel panjang tanaman pada umur 6 MST, bobot basah total tanaman, bobot basah umbi, bobot basah daun, bobot basah daun, bobot basah akar, bobot kering konsumsi, bobot kering konsumsi umbi, bobot basah per petak, dan bobot kering konsumsi per petak. Pemberian pupuk KCl dengan dosis 250 kg/Ha dan Pupuk ZK dengan dosis 300 kg/Ha memiliki nilai rata-rata bobot tertinggi diantara dosis yang lainnya

Kata kunci : bawang merah, pupuk kalium, dosis
"
Pengaruh berbagai macam pupuk organik terhadap pertumbuhan dan hasil jagung manis (Zea mays Saccharata Strut),Penulis : Ihya mashfufah,Dosen Pembimbing I : ir. Sucipto. MP,"Dosen Pembimbing II :Catur Wasonowati, S.P, M.Si","Penelitian ini bertujuan untuk mengetahui pengaruh pemberian berbagai macam pupuk organik terhadap pertumbuhan dan hasil jagung manis (Zea mays Saccharata Strut). Penelitian ini dilaksanakan di Balai Penelitian Hortikultura Desa Socah Kecamatan Bangkalan Madura dengan ketinggian tempat 4,2 m dpl dengan jenis tanah Mediteran. Penelitian ini dilakukan pada bulan Desember 2012 - Februari 2013. Metode yang digunakan dalam penelitian ini adalah Rancangan Acak Kelompok faktor tunggal dengan perlakuan berbagai macam pupuk organik. Pupuk organik yang digunakan adalah pupuk kandang ayam, pupuk kandang sapi, pupuk kandang kambing, pupuk kandang kuda, dan pupuk kompos dengan dosis 15 ton/ha. Hasil percobaan menunjukkan bahwa pupuk kandang ayam menunjukkan nilai tertinggi pada parameter tinggi tanaman yaitu 178,53 cm, jumlah daun 8,80 helai, bobot tongkol dengan klobot 263,41 gram, dan diameter tongkol 14,61 cm. Pupuk kandang sapi menunjukkan nilai rata-rata tertinggi pada parameter panjang tongkol yaitu 18,53 cm. Pada parameter bobot tongkol tanpa klobot pupuk kandang kuda menunjukkan nilai tertinggi yaitu 195,51 gram. Sedangkan untuk kadar gula nilai rata-rata tertinggi terdapat pada pupuk kompos yaitu 13,01 % brix. Berbagai macam pupuk organik yang digunakan semuanya berpengaruh pada parameter pengamatan yang berbeda, hal tersebut diduga perbedaan kandungan unsur hara yang terdapat pada setiap pupuk organik yang digunakan tanaman untuk mendukung pertumbuhan setiap parameter.

Kata kunci: pupuk organik, jagung manis, kualitas, produksi
"
Respon Tanaman kedelai Sayur Edamame Terhadap Perbedaan Jenis Pupuk dan Ukuran Jarak Tanam,Penulis : Anisa Fajrin,"Dosen Pembimbing I : ir. Sinar Suryawati, M.Si","Dosen Pembimbing II :Ir. Sucipto, MP","Kedelai edamame atau kedelai sayur (Vegetable soybean) adalah tanaman yang berasal dari Jepang yang mempunyai rasa agak manis dan aroma ringan (mild). Lahan yang diusahakan untuk pertanaman edamame relatif sempit, serta sistem budidaya yang belum optimal sehingga menyebabkan kegagalan panen. perbaikan teknik budidaya, yaitu dengan pengaturan jarak tanam dan pemupukan. Tujuan penelitian ini adalah Mengetahui respon tanaman kedelai terhadap kombinasi jenis pupuk dan ukuran jarak tanam terbaik yang mampu meningkatkan pertumbuhan dan hasil kedelai  Edamame (Glycine max (L) Merrill). Penelitian ini dilaksanakan dari bulan 31 Desember 2012 – 10 Maret 2013 pada musim hujan di Desa Daleman, Kecamatan Ganding, Kabupaten Sumenep. Alat yang digunakan dalam penelitian ini adalah Cangkul, alat tulis, meteran, bambu, tali rafia, paku, kuas, tugal, Cangkul, kamera, gunting, cutter, dan papan nama. Bahan yang digunakan pada penelitian ini adalah benih edamame, pupuk kompos, pupuk Petrogenik, pupuk NPK Ponska, pestisida, dan air. Analisis data diolah menggunakan Analisis Sidik Ragam (ANSIRA) yang dilanjutkan dengan Uji Jarak Duncan (UJD) pada taraf 1% sesuai rancangan yang digunakan. Interaksi antara perlakuan jenis pupuk dan jarak tanam tidak berpengaruh nyata terhadap semua parameter secara umum. Pupuk NPK Ponska dosis 0,25 ton/ha berpengaruh nyata secaraumum terhadap parameter pertumbuhan dan produksi kecuali bobot polong hampa dan jumlah polong hampa tidak berpengaruh nyata. Ukuran jarak tanam tidak berpengaruh terhadap parameter pertumbuhan dan produksi secara umum, namun jarak tanam 12 x 25 berpengaruh terhadap bobot polong per luasan (m2)."
"Pemanfaatan Tumbuhan Obat untuk Jamu Khusus Wanita oleh Industri Kecil Obat Tradisional (IKOT) & Peramu Jamu Tradisional di Kabupaten Bangkalan Madura,",Penulis : SRI MUJIYATI,"Dosen Pembimbing I : Ir. Sinar Suryawati, M.Si","Dosen Pembimbing II :Yunin Hidayati, S.Si, M.Sc","Tumbuhan obat merupakan tumbuhan yang secara alamiah memiliki kemampuan menyembuhkan suatu penyakit karena mengandung zat kimia tertentu yang berkhasiat. Pemanfaatan tumbuhan obat banyak digunakan oleh Industri Kecil Obat Tradisional (IKOT) maupun peramu jamu tradisional untuk bahan membuat ramuan jamu khusus wanita. Umumnya mereka memanfaatkan tumbuhan obat dalam bentuk simplisia ataupun dalam bentuk segar. Tujuan dari penelitian ini untuk mengetahui jenis-jenis tumbuhan obat yang dimanfaatkan sebagai bahan ramuan jamu khusus wanita yang diproduksi oleh IKOT maupun peramu jamu tradisional serta untuk mengetahui jenis tumbuhan obat yang paling sering digunakan dalam ramuan tersebut.
Metode penelitian yang digunakan adalah metode survei, yang dilaksanakan di 18 Kecamatan di Kabupaten Bangkalan. Jumlah responden terdiri dari 19 IKOT dan 30 orang peramu jamu tradisional.
Hasil penelitian menunjukan bahwa terdapat 47 jenis tumbuhan obat yang dimanfaatkan oleh IKOT dan terdapat 4 jenis tumbuhan yang paling sering dimanfaatkan yaitu rimpang kunyit (33,3%), daun sirih (27,2%), buah majakani (24,2%) dan kulit kayu rapat (15,3%), sedangkan peramu jamu tradisional memanfaatkan tumbuhan obat sebanyak 81 jenis dan terdapat 6 jenis tumbuhan yang paling sering dimanfaatkan yaitu daun sirih (23,43%), rimpang temukunci (20,3%), rimpang temulawak (17,1%), herba meniran (14,06%), daun beluntas (12,5%) dan daun katuk (12,61%). Berdasarkan dominansi pemanfaatannya, rimpang kunyit lebih sering dimanfaatkan oleh IKOT sedangkan daun sirih oleh peramu jamu tradisional. Hal ini terjadi karena kedua tanaman tersebut berfungsi sebagai antiseptik untuk memelihara kesehatan wanita, disamping itu IKOT cenderung menggunakan simplisia sedangkan peramu jamu tradisional menggunakan bahan segar.
Kata kunci : tumbuhan obat, IKOT, peramu jamu tradisional."
PENGARUH URINE SAPI TERFERMENTASI TERHADAP PERTUMBUHAN TANAMAN MELON (Cucumis melo L.),Penulis : AKBAR ZULKARNAEN,"Dosen Pembimbing I : Dr. Ir. EKO MURNIYANTO, M.P","Dosen Pembimbing II :Ir. SUCIPTO, M.P","ABSTRAK

Penelitian ini bertujuan untuk mengetahui pengaruh urine sapi terfermentasi terhadap pertumbuhan tanaman melon (Cucumis melo L.). Penelitian dilaksanakan di Kelurahan Gunung Sekar Kecamatan Sampang Kabupaten Sampang Madura pada bulan Desember 2012 - Maret 2013 dengan menggunakan rumah plastik. Penelitian menggunakan Metode Rancangan Acak Lengkap (RAL) faktor tunggal yang terdiri dari urine sapi tanpa fermentasi (F0), urine sapi terfermentasi 1 minggu (F1), urine sapi terfermentasi 2 minggu (F2), urine sapi terfermentasi 3 minggu (F3), urine sapi terfermentasi 4 minggu (F4), dan urine sapi terfermentasi 5 minggu (F5). Bahan yang digunakan adalah urine sapi segar, benih melon varietas sonya merah, jahe, kencur, kunyit, temulawak, EM4, dan gula merah. Alat yang digunakan adalah polybag, ember, bambu, botol air minum, gunting, pisau, penggaris, alat tulis, dan peralatan lain yang mendukung dalam kegiatan di dalam penelitian. Hasil pengamatan dianalisis menggunakan Analisis of Variance (ANOVA) apabila ada pengaruh perlakuan dilanjutkan dengan Uji Jarak Duncan (UJD) 5%. Hasil penelitian menunjukkan bahwa pemberian urine sapi terfermentasi memberikan pengaruh yang sangat nyata (p=0,01) terhadap variabel tinggi tanaman dan jumlah daun, sedangkan berpengaruh nyata (p=0,05) jumlah bunga yang tumbuh menjadi buah. Urine sapi terfermentasi 3 minggu (F3) menunjukkan nilai teringgi pada variabel tinggi tanaman, jumlah daun, dan jumlah bunga yang tumbuh menjadi buah. Urine sapi terfermentasi 4 minggu (F4) menunjukkan nilai tertinggi pada jumlah cabang produktif dan kandungan N (nitrogen) tanaman, sedangkan urine sapi tanpa fermentasi (F0) menunjukkan nilai terendah pada semua variabel yang diamati.

Kata kunci : tanaman melon, urine sapi, lama fermentasi.
"
"KAJIAN BERBAGAI KERAPATAN TANAM TERHADAP PERTUMBUHAN DAN PRODUKTIVITAS DUA
 VARIETAS BUNCIS (Phaseolus vulgaris L. )
",Penulis : Devy Yulianti Permata Sari HS,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, M.P","Dosen Pembimbing II :Dr. Ir. R.A. Sidqi Zaed ZM.,MS","ABSTRAK


	Buncis (Phaseolus vulgaris L.) merupakan salah satu tanaman sayuran yang tumbuh di dataran tinggi. Salah  satu upaya untuk meningkatkan produksi buncis berupa penyesuaian lingkungan yang dapat dilakukan dengan pengaturan kerapatan tanam serta pemilihan varietas unggul berhubungan erat dengan kemampuan adaptasi. Salah satu varietas yang dapat diintroduksikan dapat di tanam pada daerah dataran rendah sampai tinggi adalah varietas TW-17 dan Gravo. Tujuan  penelitian ini untuk mengetahui varietas dan kerapatan tanam terbaik yang mampu meningkatkan pertumbuhan dan hasil buncis pada daerah dataran rendah. Rancangan percobaan yang digunakan adalah Rancangan Acak Kelompok (RAK) factorial dengan dengan empat ulangan. Faktor pertama yaitu kerapatan tanam yang didekati dengan jarak tanam, terdiri dari 4 taraf (50X20, 40X20, 30X20, 20X20 cm), sedangkan faktor kedua yaitu jenis varietas terdiri dari 2 taraf (varietas Gravo dan TW-17). Hasil penelitian  menunjukkan perlakuan kerapatan tanam dan varietas buncis berpengaruh nyata terhadap variabel tinggi tanaman serta variabel jumlah cabang. Pada variabel jumlah daun, jumlah polong, bobot segar polong setiap tanaman, bobot segar polong per Ha dan bobot kering polong tidak berpengaruh nyata namun variabel tersebut di pengaruhi oleh masing-masing perlakuan. Perlakuan kerapatan tanam berpengaruh nyata terhadap jumlah cabang dan bobot basah tanaman. Perlakuan varietas berpengaruh nyata terhadap tinggi tanaman, jumlah daun, jumlah cabang, dan jumlah polong setiap tanaman, bobot segar polong, maupun bobot segar polong per ha pada saat panen. Produktivitas buncis varietas Gravo di tempat penelitian sebesar 887,30 kg/ha, sedangkan varietas TW-17 sebesar 3177,7 kg/ha

Kata kunci : Buncis, kerapatan tanam, pertumbuhan dan produktivitas 	

"
POTENSI TANAMAN OBAT SEBAGAI JAMU RAMUAN MADURA,Penulis : ACHMAD HUZAINI,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, M.P","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si","Achmad Huzaini Nrp 09.03.111.00048. Potensi Tanaman Obat Sebagai Jamu Ramuan Madura, dibawah bimbingan Dr.Ir. Eko Murniyanto M.P dan Ir.Sinar Suryawati M.Si



ABSTRAK

Penelitian ini bertujuan untuk mengetahui potensi tanaman obat yang paling banyak digunakan sebagai jamu ramuan Madura, serta inovasi teknologi budidaya tanaman obat. Penelitian ini dilaksanakan pada bulan November 2012 sampai Februari 2013. Penelitian ini dilakukan terhadap Industri Kecil Obat Tradisional (IKOT) yang terdaftar di Dinas Perindustrian dan Perdagangan atau Dinas Kesehatan Kabupaten Bangkalan, Sampang, Pamekasan dan Sumenep. Metode yang digunakan dalam penelitian ini menggunakan metode survei dengan tehnik sensus dan   wawancara dengan petani di Kecamatan Tlanakan, Palengaan, Pagentenan, Waru, dan Batumarmer Kabupaten Pamekasan. Penentuan lokasi petani berdasarkan luas tanam yang terbanyak. Data yang diperoleh dianalisis menggunakan Analisis Crosstabs yaitu tabulasi untuk mengetahui proporsi penggunaan tanaman obat yang paling banyak digunakan pada jamu ramuan madura  yang diproduksi IKOT dan non Madura yang diproduksi produsen besar, setelah itu mendeskripsikan. Hasil penelitian ini menunjukkan bahwa untuk membuat jamu ramuan Madura membutuhkan 96 jenis tanaman obat yang dibedakan menjadi 7 bagian tanaman yang digunakan. Tanaman obat yang paling sering digunakan oleh peracik jamu ramuan Madura adalah kunyit, adas, daun sirih, kayu rapet, jintan hitam, cengkeh dan pasak bumi. Secara keseluruhan tanaman jenis rhizome mendominasi penggunaan bahan dasar jamu baik jamu ramuan Madura maupun jamu non Madura.  Dari segi inovasi teknologi budidaya kunyit terdapat beberapa hal yang tidak sesuai dengan inovasi budidaya kunyit yaitu pada persiapan lahan, pemupukan, pemeliharaan, dan panen.

Kata kunci: potensi, tanaman obat, jamu ramuan Madura

"
"PENGARUH PEMBERIAN BLOTONG TERHADAP PERTUMBUHAN DAN
HASIL TANAMAN KACANG HIJAU
(Vigna radiata L.)",Penulis : Siska Widyawati,"Dosen Pembimbing I : Ir. Suhartono, MP","Dosen Pembimbing II :Ir. Sucipto, MP","Produksi kacang hijau di Jawa Timur menunjukkan hasil yang fluktuatif, hal ini disebabkan petani kurang memperhatikan aspek budidaya salah satunya aspe penggunaan pupuk sehingga tahun demi tahun produksinya menurun akibat penurunan kesuburan tanah, selain itu harga pupuk anorganik melambung tinggi. Untuk mengarunggi pupuk anorganik di gunakan pupuk organik blotong. Tujuan dari penelitian ini adalah mengetahui pengaruh pemberian blotong terhadap pertumbuhan dan hasil tanaman kacang hijau, Metode penelitian menggunakan rancanggan acak lengkap (RAL) satu faktor dengan takaran dosis sebagai berikut: pupuk dasar SP36 dengan dosis 0,2 g/tanaman. kemudian perlakuan pupuk bltong dengan takaran dosis: 20, 40, 60, 80, 100g / tanaman hasil data kemudian dianalisis dangan sidik ragam dan di uji menggunakn BNT 5% dan 1%. Hasil penelitian menunjukkan perlakuan pupuk blotong dengan dosis 60 g/tanaman dapat meningkatkan hasil tanaman kacang hijau."
RESPON PERTUMBUHAN DAN PRODUKSI TANAMAN KEDELAI (Glycine max (L) Merr) KULTIVAR EDAMAME TERHADAP PENGOLAHAN TANAH DAN TAKARAN KOTORAN AYAM DI TANAH MEDITERAN,Penulis : Nur Muhammad Ramdhan,"Dosen Pembimbing I : Mustika Tripatmasari, S.P.,M.Si","Dosen Pembimbing II :Catur Wasonowati, SP.,M.Si","Nur Muhammad Ramdhan NRP 09.03.111.00004. Respon Pertumbuhan Dan Produksi Tanaman Kedelai (Glycine max (L) Merr) Kultivar Edamame Terhadap Pengolahan Tanah Dan Takaran Kotoran Ayam Di Tanah Mediteran, dibawah bimbingan Mustika Tripatmasari, SP., M.Si. dan Catur Wasonowati, SP.,M.Si.

ABSTRAK


Tanaman kedelai (Glycine max (L) Merr) kultivar edamame adalah tanaman sayuran biji yang dipanen muda. Kedelai edamame menghendaki jenis tanah yang subur yaitu cukup unsur hara dan bahan organik serta sifat fisik tanah yang gembur untuk pertumbuhannya. Tanah mediteran yang merupakan tanah yang terbentuk dari pelapukan batuan kapur dan bersifat tidak subur karena kandungan unsur hara dan bahan organik rendah serta sifat fisik tanah yang tidak gembur. Untuk mendapatkan pertumbuhan dan hasil kedelai edamame yang baik pada tanah mediteran perlu dilakukan pengolahan tanah dan pemberian kotoran ayam. Perlakuan pengolahan tanah dan takaran kotoran ayam ini diharapkan dapat memberikan pertumbuhan dan hasil tanaman edamame yang baik. Penelitian ini bertujuan untuk mengetahui pengaruh pengolahan tanah dan takaran kotoran ayam terhadap pertumbuhan dan hasil tanaman edamame. Penelitian  dilakukan  di Kebun Balai Penelitian Tanaman Hortikultura Socah, Kecamatan Socah, Kabupaten Bangkalan Jawa Timur di Ketinggian ± 4,2 meter diatas permukaan laut. Penelitian ini berlangsung dari bulan Desember 2012 – Maret 2013. Metode  yang  digunakan dengan percobaan Rancangan Acak Kelompok (RAK) faktorial dengan tiga ulangan. Faktor pertama pengolahan tanah terdiri dari 3 taraf (tanpa pengolahan tanah, pengolahan tanah 1 kali dan pengolahan tanah 2 kali), sedangkan faktor kedua terdiri dari 3 taraf (takaran kotoran ayam 4 ton/ha, takaran kotoran ayam 6 ton/ha, dan takaran kotoran ayam 8 ton/ha). Dari hasil penelitian menunjukkan bahwa tidak terjadi interaksi antara perlakuan pengolahan tanah dan takaran kotoran ayam terhadap semua variabel pengamatan. Namun pada masing-masing perlakuan pengolahan tanah berpengaruh nyata terhadap variabel jumlah daun pada umur 42 dan 56 HST, jumlah cabang pada umur 42 HST, dan klorofil daun pada umur 35 HST, sedangkan pada perlakuan takaran kotoran ayam berpengaruh nyata terhadap variabel kandungan klorofil daun pada umur 35, 42, dan 49 HST, jumlah polong, bobot polong, dan polong isi per tanaman.


Kata kunci: edamame, pengolahan tanah, takaran, kotoran ayam.
"
